Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,MSFT,NDAQ,NFLX,NVDA,^GSPC,AAPL,MSFT,NDAQ,NFLX,NVDA,^GSPC,AAPL,MSFT,NDAQ,NFLX,NVDA,^GSPC,AAPL,MSFT,NDAQ,NFLX,NVDA,^GSPC,AAPL,MSFT,NDAQ,NFLX,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,241.83999633789062,396.989990234375,82.50471496582031,980.5599975585938,124.90850830078125,5954.5,242.08999633789062,397.6300048828125,82.5445828588213,982.27001953125,125.07849083366686,5959.39990234375,230.1999969482422,386.57000732421875,80.68079878214604,958.1699829101562,116.38929530836823,5837.66015625,236.9499969482422,392.6600036621094,81.06950123387688,969.5599975585938,118.00914142194866,5856.740234375,56833400,32845700,3347300,4717400,389091100,6441140000
2025-03-03,238.02999877929688,388.489990234375,81.6974105834961,973.7000122070312,114.04950714111328,5849.72021484375,244.02999877929688,398.82000732421875,83.06284979198037,994.9299926757812,123.68861991301428,5986.08984375,236.11000061035156,386.1600036621094,81.18910445562504,964.8099975585938,112.26967207329028,5810.91015625,241.7899932861328,398.82000732421875,82.72398410941503,983.0,123.49864257535764,5968.330078125,47184000,23007700,2570200,3907400,411381400,5613850000
2025-03-04,235.92999267578125,388.6099853515625,78.49808502197266,972.5800170898438,115.97933197021484,5778.14990234375,240.07000732421875,392.5799865722656,81.64757245870595,986.3099975585938,119.29902637351395,5865.080078125,234.67999267578125,381.0,77.4914416571711,948.2100219726562,110.09987541363249,5732.58984375,237.7100067138672,383.3999938964844,81.55787540446788,971.6099853515625,110.63982667322061,5811.97998046875,53798100,29342900,4134000,4392800,398163300,6138110000
2025-03-05,235.74000549316406,401.0199890136719,78.53795623779297,990.9199829101562,117.28921508789062,5842.6298828125,236.5500030517578,401.6700134277344,78.81702389037427,995.5999755859375,118.26912068620358,5860.58984375,229.22999572753906,388.80999755859375,77.56121184973519,969.47998046875,114.49947076595478,5742.35009765625,235.4199981689453,389.3399963378906,78.10938588446504,973.6199951171875,117.56918811598004,5781.35986328125,47227600,23433100,3848600,3807900,284337900,5285970000
2025-03-06,235.3300018310547,396.8900146484375,75.91669464111328,906.3599853515625,110.55982971191406,5738.52001953125,237.86000061035156,402.1499938964844,77.49144217195256,973.6900024414062,115.3393888375433,5812.080078125,233.16000366210938,392.67999267578125,75.05955396503737,899.0,110.209863429875,5711.64013671875,234.44000244140625,394.2799987792969,77.27217256588342,972.989990234375,113.51955654224739,5785.8701171875,45170400,23304600,4182900,7852600,321181900,5165080000
2025-03-07,239.07000732421875,393.30999755859375,74.41172790527344,891.1099853515625,112.67964172363281,5770.2001953125,241.3699951171875,394.79998779296875,75.79710496524683,904.8900146484375,113.46957000648335,5783.009765625,234.75999450683594,385.5400085449219,72.98648294955692,858.0700073242188,107.5501084934214,5666.2900390625,235.11000061035156,392.32000732421875,75.79710496524683,897.6400146484375,111.2397716760376,5726.009765625,46273600,22034100,4114400,7737500,341755500,5705140000
2025-03-10,227.47999572753906,380.1600036621094,72.60774230957031,866.6799926757812,106.97016143798828,5614.56005859375,236.16000366210938,386.3999938964844,73.57451787783337,881.27001953125,111.83970852661247,5705.3701171875,224.22000122070312,377.2200012207031,71.59113757425655,854.5,105.45029700249104,5564.02001953125,235.5399932861328,385.8399963378906,73.55458773181782,875.0700073242188,109.88989097369002,5705.3701171875,72071200,32840100,5235600,6995300,366487400,6409370000
2025-03-11,220.83999633789062,380.45001220703125,72.04960632324219,895.0999755859375,108.75,5572.06982421875,225.83999633789062,386.0,73.15591571571046,910.6799926757812,112.22967568900775,5636.2998046875,217.4499969482422,376.9100036621094,71.71073301184381,866.0,104.76036144852146,5528.41015625,223.80999755859375,379.0,72.61771052985912,867.4099731445312,106.98015850635034,5603.64990234375,76137400,30380200,4845500,7398900,354865700,6221240000
2025-03-12,216.97999572753906,383.2699890136719,72.73731231689453,919.6799926757812,115.73999786376953,5599.2998046875,221.75,385.2200012207031,73.61438318720974,927.1799926757812,116.76000213623047,5642.18994140625,214.91000366210938,378.95001220703125,71.96986865184826,901.0,112.87999725341797,5546.08984375,220.13999938964844,382.95001220703125,73.4947795032481,914.5999755859375,114.12000274658203,5624.83984375,62547500,24253600,2431300,6865800,323857500,5219830000
