Date,SPX,AAPL,MSFT,NFLX,NVDA,RDDT
02/01/2020,3244.67,71.72,151.57,326.1,5.94,
03/01/2020,3226.36,71.94,151.13,326.78,5.85,
06/01/2020,3217.55,71.13,149.94,323.12,5.78,
07/01/2020,3241.86,72.59,152.08,336.47,5.93,
08/01/2020,3238.59,71.94,151.71,331.49,5.97,
09/01/2020,3266.03,74.38,154.49,342.0,6.07,
10/01/2020,3281.81,75.2,155.42,337.13,6.16,
13/01/2020,3271.13,75.45,154.41,331.8,6.17,
14/01/2020,3285.35,76.67,155.97,344.4,6.23,
15/01/2020,3282.27,75.5,155.23,338.68,6.17,
16/01/2020,3302.97,75.92,156.88,343.5,6.17,
17/01/2020,3323.66,76.57,159.81,341.0,6.22,
21/01/2020,3321.03,76.79,159.11,340.0,6.17,
22/01/2020,3330.02,77.13,159.79,332.55,6.22,
23/01/2020,3315.77,76.97,158.64,326.04,6.27,
24/01/2020,3333.1,77.53,159.9,348.46,6.41,
27/01/2020,3247.16,75.07,153.83,345.95,5.93,
28/01/2020,3255.35,75.68,156.34,345.88,6.05,
29/01/2020,3289.46,78.55,160.22,349.0,6.16,
30/01/2020,3256.45,77.6,166.14,341.1,6.02,
31/01/2020,3282.33,77.7,164.39,347.39,6.07,
03/02/2020,3235.66,73.67,162.69,347.24,5.87,
04/02/2020,3280.61,76.34,169.09,361.0,6.12,
05/02/2020,3324.91,78.33,175.67,375.13,6.27,
06/02/2020,3344.92,78.1,172.75,369.6,6.28,
07/02/2020,3335.54,78.23,174.54,365.04,6.29,
10/02/2020,3318.28,76.24,175.24,365.0,6.29,
11/02/2020,3365.87,78.53,181.99,373.75,6.66,
12/02/2020,3370.5,78.01,177.15,377.18,6.72,
13/02/2020,3365.9,78.67,174.76,376.96,6.73,
14/02/2020,3378.08,78.81,174.92,381.47,7.15,
18/02/2020,3369.04,76.53,177.18,379.3,7.11,
19/02/2020,3380.39,77.66,180.01,388.12,7.51,
20/02/2020,3380.45,78.3,178.94,386.56,7.79,
21/02/2020,3360.5,77.32,175.33,385.33,7.57,
24/02/2020,3257.61,72.14,160.59,364.76,6.73,
25/02/2020,3238.94,73.03,166.74,372.0,6.88,
26/02/2020,3139.9,69.54,162.44,366.31,6.52,
27/02/2020,3062.54,68.22,156.33,371.46,6.35,
28/02/2020,2916.9,62.43,145.88,364.21,6.04,
02/03/2020,2974.28,68.5,158.23,373.11,6.9,
03/03/2020,3096.46,73.69,166.36,381.03,6.94,
04/03/2020,3045.75,71.94,161.28,377.77,6.73,
05/03/2020,3075.7,71.72,158.94,381.0,6.89,
06/03/2020,2954.2,68.44,155.65,367.7,6.63,
09/03/2020,2863.89,64.01,144.53,343.86,5.98,
10/03/2020,2813.48,67.26,151.39,356.43,6.39,
11/03/2020,2825.6,67.32,150.4,358.92,6.36,
12/03/2020,2630.86,62.11,139.08,326.5,5.62,
13/03/2020,2569.99,64.28,141.18,330.51,5.74,
16/03/2020,2508.59,58.72,134.0,306.63,5.29,
17/03/2020,2425.66,60.06,134.0,306.19,5.0,
18/03/2020,2436.5,58.19,132.09,302.4,4.99,
19/03/2020,2393.48,60.04,136.66,324.33,5.03,
20/03/2020,2431.94,59.98,139.75,342.31,5.46,
23/03/2020,2290.71,55.35,131.14,347.89,5.12,
24/03/2020,2344.44,57.36,137.59,369.99,5.7,
25/03/2020,2457.77,60.85,142.53,361.02,6.32,
26/03/2020,2501.29,59.82,142.04,344.0,6.33,
27/03/2020,2555.87,61.34,145.25,359.09,6.23,
30/03/2020,2558.98,60.85,145.91,363.0,6.36,
31/03/2020,2614.69,62.03,152.57,367.93,6.66,
01/04/2020,2498.08,59.82,146.45,376.05,6.37,
02/04/2020,2458.54,58.32,145.36,364.08,6.08,
03/04/2020,2514.92,58.92,148.46,367.47,6.33,
06/04/2020,2578.28,60.89,153.46,365.22,6.36,
07/04/2020,2738.65,65.72,162.33,380.0,6.91,
08/04/2020,2685.0,63.76,158.58,374.01,6.56,
09/04/2020,2776.99,65.21,159.24,371.06,6.78,
13/04/2020,2782.46,65.11,157.31,371.31,6.49,
14/04/2020,2805.1,67.95,161.76,397.5,6.85,
15/04/2020,2795.64,68.53,163.87,413.0,6.9,
16/04/2020,2799.34,69.74,166.84,437.0,7.15,
17/04/2020,2842.43,69.09,171.81,431.0,7.42,
20/04/2020,2845.62,67.45,169.07,435.17,7.16,
21/04/2020,2784.81,67.05,166.07,444.77,7.03,
22/04/2020,2787.89,66.4,164.05,429.73,6.91,
23/04/2020,2810.42,66.95,166.65,419.26,7.17,
24/04/2020,2812.64,67.27,164.69,425.0,7.06,
27/04/2020,2854.65,68.39,169.03,425.0,7.35,
28/04/2020,2909.96,69.18,168.07,419.99,7.55,
29/04/2020,2918.46,69.1,165.8,399.53,7.39,
30/04/2020,2930.91,70.37,172.29,410.31,7.38,
01/05/2020,2869.09,69.47,168.27,415.1,7.08,
04/05/2020,2815.01,70.18,167.02,417.78,7.0,
05/05/2020,2868.88,71.6,172.89,427.56,7.36,
06/05/2020,2883.14,72.92,174.28,429.3,7.4,
07/05/2020,2878.26,73.58,176.28,436.89,7.56,
08/05/2020,2908.83,74.37,177.06,434.14,7.67,
11/05/2020,2915.46,74.97,175.31,436.33,7.78,
12/05/2020,2939.5,77.34,178.8,442.0,8.09,
13/05/2020,2865.86,75.96,174.73,435.69,7.89,
14/05/2020,2794.54,74.1,169.94,444.9,7.81,
15/05/2020,2829.95,73.09,171.39,440.7,7.86,
18/05/2020,2913.86,76.21,177.8,451.16,8.73,
19/05/2020,2948.59,76.66,177.11,453.4,8.76,
20/05/2020,2953.63,77.06,177.39,454.25,8.96,
21/05/2020,2969.95,77.54,177.96,448.56,9.02,
22/05/2020,2948.05,76.84,175.83,437.0,8.79,
26/05/2020,3004.08,78.72,178.86,427.77,9.12,
27/05/2020,3015.65,76.93,172.96,410.38,8.59,
28/05/2020,3046.61,77.08,173.48,417.24,8.38,
29/05/2020,3025.17,77.68,175.39,417.46,8.52,
01/06/2020,3038.78,77.32,175.21,418.83,8.8,
02/06/2020,3064.78,78.05,176.85,425.87,8.76,
03/06/2020,3098.9,79.0,177.4,426.95,8.79,
04/06/2020,3111.56,78.94,176.9,422.39,8.7,
05/06/2020,3163.84,78.68,175.29,407.29,8.77,
08/06/2020,3199.92,80.36,178.47,416.0,8.85,
09/06/2020,3213.32,80.82,180.45,421.65,8.77,
10/06/2020,3213.42,84.66,183.46,436.0,9.14,
11/06/2020,3123.53,85.0,185.38,428.2,9.12,
12/06/2020,3071.04,83.88,182.89,429.0,9.13,
15/06/2020,2993.76,81.09,177.17,421.4,8.79,
16/06/2020,3131.0,85.52,185.14,425.76,9.2,
17/06/2020,3136.13,86.42,187.2,441.82,9.09,
18/06/2020,3101.64,85.51,186.21,448.73,9.2,
19/06/2020,3140.29,86.3,190.62,449.12,9.21,
22/06/2020,3094.42,85.49,187.93,455.01,9.27,
23/06/2020,3138.7,88.57,193.98,466.5,9.52,
24/06/2020,3114.4,88.82,193.5,468.54,9.45,
25/06/2020,3046.6,87.77,189.86,458.86,9.33,
26/06/2020,3073.2,88.67,191.71,466.39,9.47,
